麓景嘉园北里 2室1厅 东 西,麓景嘉园北里,海淀其它,2室1厅 ,84.71, 东 西 , 精装 ,6, 2015年 , 板楼,32, 4个月以前发布,3000000.0,"35,415元/平",VR看装修 房本满五年 随时看房 
宝盛北里正规两居，商品房满五年，无抵押，诚意出售,宝盛北里,清河,2室2厅 ,104.85, 南 北 , 精装 ,6, 2004年 , 板楼,15, 6个月以前发布,6850000.0,"65,332元/平",VR房源 房本满五年 
小南庄社区 四居 有电梯 楼龄新,小南庄社区,苏州桥,4室2厅 ,168.86, 西南 北 , 精装 ,18, 1997年 , 塔楼,30, 一年前发布,16800000.0,"99,491元/平",近地铁 VR看装修 房本满五年 
单价9.1万，两个独立精装花园，四居室，双层独立私密,如园北区,西北旺,4室4厅 ,318.63, 南 北 , 精装 ,10, 2015年 , 板楼,226, 一年前发布,33000000.0,"103,569元/平",近地铁 VR房源 房本满五年 
商品房 满五年 产权清晰，南向无遮挡 交通便利,华清商务会馆,五道口,3室2厅 ,192.92, 南 , 精装 ,15, 2002年 , 塔楼,34, 一年前发布,14500000.0,"75,161元/平",近地铁 VR看装修 房本满五年 
小区中间位置，次顶层，双卧室朝南，精装修，动静分离,冠城大通百旺府,海淀北部新区,3室2厅 ,137.31, 南 北 , 精装 ,7, 2019年 , 板楼,16, 一年前发布,13980000.0,"101,814元/平",VR看装修 房本满两年 
远大园一区 园区中间 板楼三居,远大园一区,世纪城,3室2厅 ,152.4, 南 北 , 精装 ,11, 2001年 , 板楼,27, 一年前发布,19200000.0,"125,985元/平",VR看装修 房本满五年 
金尚嘉园 高层视野j 3居室 业主诚意出售，采光好,金尚嘉园,牡丹园,3室1厅 ,116.17, 西 , 精装 ,18, 2007年 , 板塔结合,37, 5个月以前发布,14950000.0,"128,691元/平",近地铁 VR房源 房本满五年 
晴波园 五居室 观小区花园水系 精装修看房联系维护人,晴波园,世纪城,5室2厅 ,238.99, 东 南 北 , 精装 ,12, 2004年 , 板楼,21, 10个月以前发布,32300000.0,"135,153元/平",近地铁 VR看装修 房本满五年 
菊花盛苑 双层 带电梯 适合三代人居住 价格可以谈,菊花盛苑,马连洼,4室3厅 ,186.12, 南 北 , 精装 ,9, 2002年 , 板楼,7, 4个月以前发布,16650000.0,"89,459元/平",VR房源 房本满五年 
金隅翡丽铂爵郡 3室2厅 南 北,金隅翡丽铂爵郡,西三旗,3室2厅 ,157.52, 南 北 , 精装 ,6, 2014年 , 板楼,41, 9个月以前发布,16100000.0,"102,210元/平",VR看装修 房本满五年 
南北通透 明厨明卫  小区绿化管理好 生活便利,铁医路1号院,军博,2室2厅 ,96.7, 南 北 , 精装 ,6, 1998年 , 板楼,9, 8个月以前发布,9670000.0,"100,000元/平",VR房源 房本满五年 
10号名邸 平层五居室 近地铁,10号名邸,紫竹桥,5室2厅 ,279.63, 南 北 , 简装 ,20, 2005年 , 板楼,11, 4个月以前发布,23880000.0,"85,399元/平",VR房源 房本满五年 
天秀花园荷塘月舍 3室1厅 南 北 西,天秀花园荷塘月舍,马连洼,3室1厅 ,149.85, 南 北 西 , 简装 ,6, 2004年 , 板楼,24, 10个月以前发布,14800000.0,"98,766元/平",近地铁 VR房源 房本满两年 
当代城市家园南北两居，自住，诚意出售,当代城市家园,上地,2室2厅 ,118.79, 南 北 , 简装 ,11, 2003年 , 板楼,119, 4个月以前发布,8180000.0,"68,862元/平",近地铁 VR看装修 房本满五年 
净高3.1米 四居室 落地窗 有车位,颐源居小区,公主坟,4室1厅 ,159.74, 南 北 , 精装 ,28, 2001年 , 塔楼,27, 9个月以前发布,18200000.0,"113,936元/平",VR看装修 房本满五年 
冠城大通百旺府 5室2厅 南 北 西,冠城大通百旺府,海淀北部新区,5室2厅 ,222.21, 南 北 西 , 精装 ,5, 2015年 , 板楼,11, 5个月以前发布,18200000.0,"81,905元/平",VR房源 房本满五年 
如园南区中间位置，中间楼层四居，三面采光,如园南区,西北旺,4室2厅 ,295.06, 东 南 北 , 简装 ,10, 2014年 , 板楼,8, 4个月以前发布,33000000.0,"111,842元/平",近地铁 VR看装修 房本满五年 
万科如园 三卧朝南 南北通透 亮点多 看房方便,如园北区,西北旺,3室1厅 ,313.38, 南 北 , 精装 ,10, 2016年 , 板楼,8, 10个月以前发布,31800000.0,"101,475元/平",近地铁 VR房源 房本满两年 
涧桥泊屋眼睛户型 双卧客厅南 不临街 南北面花园,涧桥泊屋,万柳,3室2厅 ,175.43, 南 北 , 精装 ,14, 2002年 , 板楼,1, 5个月以前发布,30970000.0,"176,538元/平",VR房源 房本满五年 
万柳锋尚名居二期精装四居室高层采光好视野好恒温恒湿,锋尚国际,万柳,4室2厅 ,155.13, 东南 , 精装 ,18, 2003年 , 塔楼,3, 9个月以前发布,26500000.0,"170,825元/平",近地铁 VR看装修 房本满两年 
中海雅园 高层东南三居室视野采光好诚心出售价格可谈,中海雅园,紫竹桥,3室2厅 ,150.28, 东南 北 , 其他 ,19, 2000年 , 塔楼,13, 5个月以前发布,15500000.0,"103,141元/平",VR房源 房本满五年 
兰德华庭 近地铁 满五唯一 高层采光视野好,兰德华庭,田村,2室2厅 ,93.52, 南 北 , 精装 ,13, 2005年 , 板楼,37, 6个月以前发布,8410000.0,"89,928元/平",近地铁 VR看装修 房本满五年 
怡秀园小区 3室2厅 西南,怡秀园小区,万柳,3室2厅 ,154.9, 西南 , 其他 ,18, 1995年 , 塔楼,2, 7个月以前发布,19900000.0,"128,470元/平",近地铁 VR看装修 房本满五年 
大河庄苑改善选择南北四居室 户型方正 随时签约,大河庄苑,苏州桥,4室2厅 ,206.33, 南 北 , 简装 ,10, 2004年 , 板楼,9, 8个月以前发布,28080000.0,"136,093元/平",近地铁 VR看装修 房本满五年 
精装修 中间层 1梯1户 主仆分离 看房方便 诚意出售,西山壹号院北区,西北旺,3室2厅 ,280.37, 南 北 , 精装 ,6, 2012年 , 板楼,16, 9个月以前发布,35990000.0,"128,367元/平",VR看装修 房本满五年 
领秀新硅谷2号院  电梯入户 位置安静,领秀新硅谷2号院,西二旗,3室2厅 ,154.15, 南 北 , 精装 ,6, 2009年 , 板楼,28, 10个月以前发布,16900000.0,"109,634元/平",近地铁 VR房源 房本满五年 
新上 看房方便 经典户型 满五唯一 中间位置 有庭院,西山壹号院北区,西北旺,4室3厅 ,433.91, 南 北 , 精装 ,6, 2011年 , 板楼,11, 7个月以前发布,36600000.0,"84,350元/平",VR房源 房本满五年 
安宁庄安宁庄上第摩玛园大三居看房方便,上第MOMA,上地,3室2厅 ,144.59, 南 北 , 精装 ,9, 2008年 , 板楼,4, 5个月以前发布,12700000.0,"87,835元/平",近地铁 VR看装修 房本满五年 
领秀新硅谷1号院 3室1厅 南 北,领秀新硅谷1号院,西二旗,3室1厅 ,96.96, 南 北 , 其他 ,6, 2010年 , 板楼,17, 3个月以前发布,12500000.0,"128,920元/平",近地铁 VR房源 房本满五年 
枫蓝国际西直门 商品房带电梯 精装修高楼层采光视野好,枫蓝国际,小西天,4室1厅 ,127.28, 西南 , 精装 ,21, 2005年 , 塔楼,29, 9个月以前发布,15350000.0,"120,601元/平",VR房源 房本满两年 
韦伯豪家园 南北通透四居室 满五年唯一,韦伯豪家园,魏公村,4室2厅 ,169.25, 南 北 , 精装 ,15, 2001年 , 板塔结合,14, 5个月以前发布,21300000.0,"125,850元/平",近地铁 VR房源 房本满五年 
垂虹园通透四居室 明厨明卫 不临街 南北三阳台,垂虹园,世纪城,4室2厅 ,207.66, 南 北 , 简装 ,18, 2004年 , 塔楼,16, 一年前发布,20000000.0,"96,312元/平",近地铁 VR看装修 房本满五年 
五道口东升园 带电梯提前约就能看，大三居,东升园,五道口,3室1厅 ,179.51, 东 , 精装 ,12, 2001年 , 板楼,4, 5个月以前发布,18500000.0,"103,059元/平",近地铁 VR房源 房本满五年 
五道口城铁旁 东升园大三居 精装 满五唯一 诚心出售,东升园,五道口,3室1厅 ,190.77, 东 西 北 , 精装 ,12, 2001年 , 板楼,9, 7个月以前发布,18990000.0,"99,544元/平",近地铁 VR房源 房本满两年 
燕尚园 3室2厅 南 北,燕尚园,西二旗,3室2厅 ,130.11, 南 北 , 简装 ,8, 2006年 , 板楼,7, 4个月以前发布,13550000.0,"104,143元/平",VR房源 房本满五年 
首创天阅西山中高楼层大平层精装修,首创天阅西山,海淀北部新区,4室2厅 ,213.0, 南 北 , 精装 ,25, 2018年 , 板楼,109, 一年前发布,25800000.0,"121,127元/平",近地铁 VR看装修 房本满五年 
冠城大通百旺府 5室2厅 南 北,冠城大通百旺府,海淀北部新区,5室2厅 ,221.82, 南 北 , 精装 ,5, 2009年 , 板楼,34, 5个月以前发布,15300000.0,"68,975元/平",VR房源 房本满两年 
紫金庄园四居 满五年 名下一套  视野采光好,紫金庄园,苏州桥,4室1厅 ,254.11, 东 西 , 其他 ,22, 1998年 , 塔楼,7, 10个月以前发布,25000000.0,"98,383元/平",近地铁 VR房源 房本满五年 
首创天阅西山中高楼层大平层精装修,首创天阅西山,海淀北部新区,4室2厅 ,213.0, 南 北 , 精装 ,25, 2018年 , 板楼,109, 一年前发布,25800000.0,"121,127元/平",近地铁 VR看装修 房本满五年 
领秀硅谷 南北三居室 双卫 带储物间,领秀硅谷,西二旗,3室2厅 ,144.29, 南 北 , 精装 ,10, 2003年 , 板楼,50, 6个月以前发布,11600000.0,"80,394元/平",VR看装修 房本满五年 
紫金长河 板楼南北三居 一梯两户 安静不临街 随时签约,大河庄苑,苏州桥,3室2厅 ,142.17, 南 北 , 简装 ,10, 2004年 , 板楼,30, 9个月以前发布,19180000.0,"134,909元/平",VR房源 房本满五年 
郦城二区 云楼南北通透 平层四居室 大面款大客厅,郦城二区,四季青,4室2厅 ,203.37, 南 北 , 精装 ,6, 2005年 , 板楼,29, 8个月以前发布,24600000.0,"120,962元/平",VR房源 房本满五年 
海淀产权 带电梯 西向大两居 满五唯一,水木天成,清河,3室1厅 ,106.57, 西 , 精装 ,26, 2006年 , 板楼,30, 5个月以前发布,7480000.0,"70,189元/平",VR房源 房本满五年 
满五年唯一 精装修三居，小区环境好，外交部家属院,海淀南路24号院,苏州桥,3室2厅 ,134.47, 南 北 , 精装 ,6, 2000年 , 板楼,18, 9个月以前发布,17300000.0,"128,654元/平",近地铁 VR房源 房本满五年 
上地东里 3室2厅 南 北,上地东里,上地,3室2厅 ,90.1, 南 北 , 精装 ,6, 1996年 , 板楼,11, 6个月以前发布,12000000.0,"133,186元/平",近地铁 VR房源 房本满两年 
万泉新新官邸CEO定制户型，一梯一户大平层,万泉新新家园,万柳,5室2厅 ,311.96, 南 北 , 其他 ,5, 2001年 , 板楼,31, 一年前发布,55800000.0,"178,870元/平",近地铁 VR房源 房本满五年 
紫金庄园2000年社区全面市政改造满五年停车位充足,紫金庄园,苏州桥,3室1厅 ,122.1, 西南 , 简装 ,22, 1997年 , 塔楼,8, 6个月以前发布,12300000.0,"100,738元/平",近地铁 VR看装修 房本满五年 
新康园   三居三卫复式    品牌装修  业主诚售,新康园,西三旗,3室2厅 ,174.93, 南 北 , 精装 ,24, 2002年 , 塔楼,33, 5个月以前发布,8500000.0,"48,591元/平",近地铁 VR房源 房本满两年 
上地西里 平层大四居 满五年唯一 位置好 看房方便,上地西里,上地,4室1厅 ,180.72, 南 北 , 精装 ,7, 2000年 , 板楼,77, 一年前发布,16900000.0,"93,515元/平",VR看装修 房本满五年 
北影小区 四室两卫大客厅 满五唯一  交通方便,北影小区,北太平庄,4室1厅 ,140.19, 东北 , 简装 ,11, 2000年 , 塔楼,16, 7个月以前发布,14000000.0,"99,865元/平",近地铁 VR看装修 房本满五年 
北影小区 东南四居室 双卫使用,北影小区,北太平庄,4室1厅 ,133.25, 东南 , 简装 ,18, 2000年 , 塔楼,14, 5个月以前发布,13890000.0,"104,241元/平",近地铁 VR看装修 房本满五年 
西直门 花园社区 人车分流 南北通透三居室,天兆家园,小西天,3室2厅 ,152.86, 南 北 , 其他 ,20, 2002年 , 板楼,31, 8个月以前发布,16980000.0,"111,083元/平",VR看装修 房本满五年 
此房满五唯一 精装修 高楼层 视野好  正规三居室,君安家园东区,清河,3室1厅 ,144.35, 西南 , 精装 ,19, 2005年 , 塔楼,50, 一年前发布,9980000.0,"69,138元/平",近地铁 VR看装修 房本满五年 
小区中间位置四居，南北通透，功能间多，户型方正,如园北区,西北旺,4室2厅 ,259.14, 东 南 北 , 精装 ,10, 2015年 , 板楼,28, 一年前发布,31000000.0,"119,627元/平",近地铁 VR看装修 房本满五年 
金隅翡丽蓝爵堡 4室2厅 南 北,金隅翡丽蓝爵堡,西三旗,4室2厅 ,206.34, 南 北 , 精装 ,6, 2016年 , 板楼,7, 4个月以前发布,23000000.0,"111,467元/平",VR房源 房本满五年 
涧桥泊屋又名新纪元家园南北紧凑小三居,涧桥泊屋,万柳,3室2厅 ,138.72, 南 北 , 精装 ,9, 2002年 , 板楼,16, 一年前发布,24960000.0,"179,931元/平",VR看装修 房本满五年 
新上一层五局室业主诚心出售可以给周期,如园南区,西北旺,5室2厅 ,455.51, 南 北 , 精装 ,10, 2014年 , 板楼,4, 6个月以前发布,43000000.0,"94,400元/平",近地铁 VR房源 房本满五年 
万柳万泉新新家园 六层洋房 带车位 精装修,万泉新新家园,万柳,4室2厅 ,237.95, 南 北 , 精装 ,6, 2001年 , 板楼,16, 5个月以前发布,41000000.0,"172,306元/平",近地铁 VR房源 房本满五年 
强佑府学上院精致装修电梯三居 中高楼层,强佑清河新城府学上院,清河,3室1厅 ,124.79, 南 北 , 精装 ,24, 2020年 , 板塔结合,13, 9个月以前发布,11000000.0,"88,149元/平",近地铁 VR看装修 房本满两年 
满五唯一，正规四居室格局，高楼层视野好，复式格局,逸成东苑,学院路,4室1厅 ,144.24, 东 , 其他 ,15, 2005年 , 板楼,16, 5个月以前发布,13900000.0,"96,368元/平",VR房源 房本满五年 
宝盛西里 南北向四居，视野好，采光也很好,宝盛里,清河,4室1厅 ,114.5, 南 北 , 精装 ,6, 2001年 , 板楼,19, 一年前发布,7100000.0,"62,009元/平",VR房源 房本满五年 
上地佳园中间楼层、中间位置精装修平层4居室,上地佳园,上地,4室1厅 ,197.86, 南 北 , 其他 ,17, 2004年 , 板楼,11, 5个月以前发布,26580000.0,"134,338元/平",近地铁 VR看装修 房本满五年 
万泉新新家园 南北四居室 西南北 带明卫,万泉新新家园,万柳,4室2厅 ,200.05, 南 北 , 精装 ,4, 2001年 , 板楼,12, 10个月以前发布,32000000.0,"159,961元/平",近地铁 VR看装修 房本满五年 
中关村苏州桥紫金庄园正规精装修三居,紫金庄园,苏州桥,3室1厅 ,171.3, 东 , 精装 ,22, 1998年 , 塔楼,6, 5个月以前发布,14500000.0,"84,647元/平",近地铁 VR看装修 房本满五年 
曙光花园   精装修   大三居  中间楼层,曙光花园,四季青,3室2厅 ,180.23, 西南 , 精装 ,16, 2001年 , 板塔结合,14, 5个月以前发布,16500000.0,"91,550元/平",近地铁 VR房源 房本满五年 
涧桥泊屋  低密度  园林绿化高  户型方正 三面采光,涧桥泊屋,万柳,3室2厅 ,161.46, 东南 北 , 精装 ,14, 2002年 , 板楼,5, 6个月以前发布,29050000.0,"179,921元/平",VR看装修 房本满五年 
小营东路7号院 3室1厅 东 西,小营东路7号院,清河,3室1厅 ,109.52, 东 西 , 简装 ,6, 1999年 , 板楼,14, 10个月以前发布,7980000.0,"72,864元/平",VR看装修 房本满五年 
金谷园 98年楼龄 顶层复式 做过社区改造,金谷园,知春路,4室2厅 ,126.84, 南 北 , 精装 ,7, 1998年 , 板楼,7, 5个月以前发布,13000000.0,"102,492元/平",近地铁 VR房源 房本满五年 
上地南路6号院 3室2厅 南 北,上地南路6号院,上地,3室2厅 ,130.9, 南 北 , 简装 ,6, 1998年 , 板楼,12, 5个月以前发布,12000000.0,"91,674元/平",VR看装修 房本满五年 
西二旗燕尚园平层四居 小区中间位置 带精装 诚意出售,燕尚园,西二旗,4室2厅 ,192.5, 南 北 , 精装 ,8, 2006年 , 板楼,172, 一年前发布,17900000.0,"92,988元/平",VR看装修 房本满两年 
店长推荐  远洋风景  南北三居室  带车位  满五唯一,远洋风景,小西天,3室2厅 ,162.36, 南 北 , 精装 ,13, 2002年 , 板楼,17, 10个月以前发布,20500000.0,"126,263元/平",近地铁 VR看装修 房本满五年 
锦秋知春 南北复式 客厅挑高5.4米 北向20多平米可种花,锦秋知春,知春路,5室1厅 ,227.7, 南 北 , 精装 ,12, 2003年 , 板楼,20, 一年前发布,29580000.0,"129,908元/平",近地铁 VR房源 房本满五年 
锦秋知春 6室3厅 南 北,锦秋知春,知春路,6室3厅 ,347.35, 南 北 , 其他 ,12, 2003年 , 板楼,7, 7个月以前发布,50000000.0,"143,948元/平",近地铁 VR房源 房本满五年 
紫金庄园满五年 双卧室朝南两卫 电梯房,紫金庄园,苏州桥,3室1厅 ,127.2, 南 西 , 精装 ,22, 1997年 , 塔楼,20, 8个月以前发布,11000000.0,"86,478元/平",近地铁 VR房源 房本满五年 
上地东里 精装四居 满五年唯一 拎包入住,上地东里,上地,4室2厅 ,161.59, 东 西 , 精装 ,6, 1993年 , 板楼,8, 8个月以前发布,14600000.0,"90,353元/平",近地铁 VR房源 房本满五年 
金隅山墅 装修好 上叠拼 带车位 诚心卖,金隅山墅,玉泉路,4室4厅 ,201.25, 西 南 北 , 精装 ,4, 2008年 , 暂无数据,26, 7个月以前发布,17780000.0,"88,348元/平",VR房源 房本满五年 
如园北区 不临街四居 安静舒适 有车位储物间,如园北区,西北旺,4室2厅 ,255.3, 南 西 北 , 精装 ,9, 2016年 , 板楼,15, 4个月以前发布,28990000.0,"113,553元/平",近地铁 VR房源 房本满五年 
马甸冠城园精装三居高楼层采光视野好,冠城南园,马甸,3室1厅 ,132.74, 东北 西南 , 精装 ,23, 1998年 , 塔楼,8, 6个月以前发布,18600000.0,"140,124元/平",近地铁 VR房源 房本满五年 
海淀西四环 丹青府 2010年商品房 双明卫 有车位,丹青府,田村,3室2厅 ,140.82, 南 北 , 精装 ,12, 2010年 , 板楼,40, 5个月以前发布,11500000.0,"81,665元/平",近地铁 VR房源 房本满五年 
苏州桥 紫金庄园大三居 户型方正 看房方便,紫金庄园,苏州桥,3室2厅 ,196.7, 西南 , 简装 ,22, 1998年 , 塔楼,12, 一年前发布,17000000.0,"86,427元/平",近地铁 VR看装修 房本满五年 
清缘里中区  南北通透  三居两卫  满五年唯一,清缘里中区,清河,3室2厅 ,112.97, 南 北 , 简装 ,10, 1999年 , 板楼,37, 4个月以前发布,7550000.0,"66,832元/平",近地铁 VR看装修 房本满五年 
万科西山庭院一层四居、满五唯一、有产权清晰、诚售,万科西山庭院,马连洼,4室2厅 ,183.58, 西南 , 简装 ,5, 2004年 , 板楼,35, 一年前发布,21000000.0,"114,392元/平",近地铁 VR房源 房本满五年 
万科西山庭院低楼层三居，带明卫，带产权车位，诚售,万科西山庭院,马连洼,3室2厅 ,171.71, 南 北 , 精装 ,5, 2005年 , 板楼,54, 11个月以前发布,17800000.0,"103,664元/平",近地铁 VR看装修 房本满五年 随时看房 
海淀北部新区品质社区环保科技园旁,北辰香麓,海淀北部新区,4室3厅 ,296.41, 南 北 , 精装 ,3, 2009年 , 板楼,23, 7个月以前发布,18000000.0,"60,727元/平",VR房源 房本满五年 
天秀花园澄秀园 3室2厅 南 北,天秀花园澄秀园,马连洼,3室2厅 ,131.32, 南 北 , 精装 ,6, 2007年 , 板楼,27, 9个月以前发布,11280000.0,"85,898元/平",近地铁 VR看装修 房本满五年 
天秀花园古月园大3居业主诚意出售,天秀花园古月园,马连洼,3室2厅 ,164.41, 南 北 , 精装 ,7, 2004年 , 板楼,56, 一年前发布,15800000.0,"96,102元/平",近地铁 VR看装修 房本满五年 
上河村一区高层观景眼睛户型经典三居室,鲁艺上河村,世纪城,3室2厅 ,181.85, 南 北 , 精装 ,15, 2002年 , 板楼,21, 4个月以前发布,24800000.0,"136,377元/平",近地铁 VR看装修 房本满两年 随时看房 
观景跃层大四居 百万精装 有楼台 落地窗采光好 临公园,厂洼西街10号院,厂洼,4室3厅 ,161.2, 西南 东北 , 精装 ,6, 1998年 , 板楼,4, 5个月以前发布,14880000.0,"92,308元/平",VR房源 房本满两年 
世华龙樾二期独立电梯入户，双南向卧室，带产权车位。,世华龙樾二期,清河,3室2厅 ,174.55, 南 北 , 精装 ,9, 2015年 , 板楼,18, 5个月以前发布,25500000.0,"146,090元/平",近地铁 VR看装修 房本满两年 
百旺茉莉园 3室2厅 南 北,百旺茉莉园,西北旺,3室2厅 ,159.96, 南 北 , 其他 ,9, 2007年 , 板楼,34, 7个月以前发布,15900000.0,"99,400元/平",近地铁 VR房源 房本满五年 
"三里河路5号院,正规四居室，南北通透",三里河路5号院,甘家口,3室1厅 ,121.6, 南 北 , 简装 ,4, 1958年 , 板楼,14, 4个月以前发布,12250000.0,"100,741元/平",近地铁 VR房源 房本满五年 
曙光花园 品质三居 楼层好 采光视野都很好,曙光花园,四季青,3室2厅 ,157.24, 西南 , 精装 ,16, 2002年 , 板塔结合,10, 5个月以前发布,16800000.0,"106,844元/平",VR看装修 房本满五年 
永泰园 4室2厅 南 北,永泰园,清河,4室2厅 ,137.68, 南 北 , 其他 ,6, 2002年 , 板楼,11, 7个月以前发布,8690000.0,"63,118元/平",近地铁 VR房源 房本满五年 
清林苑 南北通透三居室 板楼带电梯 中层楼层,清林苑,学院路,3室2厅 ,157.66, 南 北 , 精装 ,7, 2001年 , 板楼,22, 10个月以前发布,15000000.0,"95,142元/平",近地铁 VR房源 房本满五年 
志新西路一号院 3室2厅 南 北,志新西路一号院,二里庄,3室2厅 ,160.47, 南 北 , 精装 ,6, 1999年 , 板楼,7, 5个月以前发布,12480000.0,"77,772元/平",VR房源 房本满两年 
正源尚峰尚水 一层带地下带黑土地 南北通透 全明格局,正源尚峰尚水,海淀北部新区,6室3厅 ,144.17, 南 北 , 简装 ,9, 2012年 , 板楼,8, 7个月以前发布,12100000.0,"83,929元/平",VR房源 房本满五年 
北京印象 南北通透 三居室 满五年唯一 精装修 带车位,北京印象,定慧寺,3室2厅 ,182.34, 南 北 , 精装 ,11, 2003年 , 板塔结合,79, 一年前发布,14800000.0,"81,168元/平",近地铁 VR看装修 房本满五年 
海淀区2004年，碧森里，一层下跃，满五年唯一2个车位,碧森里,田村,3室2厅 ,90.27, 南 北 , 简装 ,10, 2004年 , 板楼,54, 9个月以前发布,13800000.0,"152,875元/平",近地铁 VR房源 房本满五年 
颐源居三期 无增值税 精装修 南北通三居,颐源居小区,公主坟,3室2厅 ,153.58, 南 北 , 精装 ,14, 2003年 , 板楼,22, 9个月以前发布,23660000.0,"154,057元/平",VR房源 房本满两年 
本房是叠拼，满五唯一商品房，业主自住精装修，诚意卖,百旺家苑,马连洼,5室2厅 ,207.96, 南 北 , 精装 ,5, 板楼 , 叠拼别墅 ,6, 7个月以前发布,26300000.0,"126,467元/平",近地铁 VR房源 房本满五年 
航天城小区 少有大面积复式 诚心出售,航天城小区,海淀北部新区,5室3厅 ,203.56, 南 北 , 简装 ,6, 2001年 , 板楼,110, 一年前发布,15950000.0,"78,356元/平",VR看装修 房本满五年 
富力桃园B区 4室1厅 南 北,富力桃园B区,西三旗,4室1厅 ,162.61, 南 北 , 其他 ,11, 2007年 , 板楼,9, 3个月以前发布,12500000.0,"76,872元/平",VR房源 房本满两年 
萬橡府中高层 三居室 位置佳  北观水系 满五唯一 急售,橡树湾五期,清河,3室2厅 ,144.37, 南 北 , 精装 ,16, 2016年 , 板楼,22, 7个月以前发布,23700000.0,"164,162元/平",VR看装修 房本满五年 随时看房 
领秀硅谷南北通透三居 户型方正  公摊小,领秀硅谷,西二旗,3室2厅 ,126.39, 南 北 , 精装 ,8, 2003年 , 板楼,140, 5个月以前发布,9500000.0,"75,165元/平",VR看装修 房本满五年 
上地东里，眼镜户型三居，南北通透，全明格局,上地东里,上地,3室2厅 ,126.1, 南 北 , 简装 ,6, 1997年 , 板楼,30, 5个月以前发布,14000000.0,"111,023元/平",近地铁 VR看装修 房本满五年 
万柳锋尚国际 园区中间位置 高楼层 观景四居室,锋尚国际,万柳,4室2厅 ,154.06, 东 东南 , 精装 ,18, 2002年 , 塔楼,12, 8个月以前发布,24950000.0,"161,950元/平",近地铁 VR看装修 房本满五年 
万柳锋尚国际 园区中间位置  高楼层 观景四居室,锋尚国际,万柳,4室2厅 ,187.86, 西南 , 精装 ,18, 2002年 , 塔楼,7, 10个月以前发布,31000000.0,"165,017元/平",近地铁 VR看装修 房本满五年 
万柳万泉新新家园 六层花园洋房 定制四居室 看房方便,万泉新新家园,万柳,4室1厅 ,258.05, 南 北 , 简装 ,6, 2001年 , 板楼,5, 8个月以前发布,40800000.0,"158,109元/平",近地铁 VR房源 房本满五年 
智学苑正规电梯四居室，东，南朝向，满五唯一,智学苑,西二旗,4室2厅 ,161.53, 东 南 , 简装 ,24, 2001年 , 塔楼,25, 5个月以前发布,8950000.0,"55,408元/平",近地铁 VR看装修 房本满五年 
满五年唯一 大三居 南北通透 采光好 通风效果佳,领秀硅谷,西二旗,3室2厅 ,153.04, 南 北 , 精装 ,5, 2003年 , 板楼,37, 9个月以前发布,12990000.0,"84,880元/平",VR看装修 房本满五年 
榆苑公寓 单位分房 高层东南向 拎包入住,榆苑公寓,双榆树,3室1厅 ,127.5, 东南 , 精装 ,10, 1997年 , 板塔结合,53, 5个月以前发布,12980000.0,"101,804元/平",近地铁 VR看装修 房本满五年 
清河文苑 正规四居室 户型方正 楼层适中,清河文苑,清河,4室1厅 ,163.4, 东北 , 其他 ,22, 2004年 , 塔楼,44, 一年前发布,10800000.0,"66,096元/平",近地铁 VR看装修 房本满五年 
亮甲店小区 高楼层 近地铁 精装修,亮甲店小区,定慧寺,4室2厅 ,82.62, 东 南 西 北 , 其他 ,7, 1999年 , 板楼,10, 4个月以前发布,7200000.0,"87,146元/平",近地铁 VR房源 房本满五年 
志新西路1号院 南北通透 满五年唯一商品房,志新西路一号院,二里庄,5室2厅 ,212.25, 南 北 , 其他 ,6, 2000年 , 板楼,5, 5个月以前发布,16500000.0,"77,739元/平",近地铁 VR房源 房本满五年 
满五唯一商品房，精装修四居双卫电梯房,紫金庄园,苏州桥,4室2厅 ,254.1, 西 东 , 精装 ,22, 1998年 , 塔楼,34, 一年前发布,17200000.0,"67,690元/平",近地铁 VR看装修 房本满五年 
北辰香麓 住宅小区 人车分流密度低业主诚意出售,北辰香麓,海淀北部新区,4室2厅 ,234.79, 南 北 , 精装 ,5, 2009年 , 板楼,10, 6个月以前发布,13500000.0,"57,499元/平",VR房源 房本满五年 
海淀 西四环 田村 五居室 看房方便,碧森里,田村,5室2厅 ,232.54, 东南 , 精装 ,9, 2004年 , 板楼,11, 7个月以前发布,18300000.0,"78,697元/平",近地铁 VR房源 房本满五年 
晴雪园 双明卫 高层观景 临地铁 双卧朝南 户型方正,晴雪园,世纪城,3室2厅 ,123.18, 南 北 , 精装 ,9, 2005年 , 板楼,34, 9个月以前发布,20500000.0,"166,424元/平",近地铁 VR看装修 房本满五年 
晴雪园、临绿化带、三卧朝南、户型方正、视野好无遮挡,晴雪园,世纪城,4室2厅 ,196.53, 南 北 , 精装 ,11, 2005年 , 板楼,52, 一年前发布,32500000.0,"165,370元/平",近地铁 VR看装修 房本满五年 
复兴路甲38号南北通透复式四居  电梯直达  视野开阔,嘉德公寓,五棵松,4室1厅 ,196.72, 南 北 , 简装 ,15, 1999年 , 板塔结合,8, 4个月以前发布,12500000.0,"63,543元/平",VR房源 房本满五年 
玉海园一里高层采光好 三居室改善居住条件,玉海园一里,玉泉路,3室1厅 ,141.0, 南 , 简装 ,6, 1997年 , 板楼,64, 6个月以前发布,7990000.0,"56,667元/平",近地铁 VR房源 房本满五年 
