东城区二环内 天坛北门 桥湾地铁站 金鱼池西区南北2居,金鱼池西区,天坛,2室1厅 ,61.85, 南 北 , 精装 ,5, 2002年 , 板楼,56, 3个月以前发布,6050000.0,"97,818元/平",近地铁 VR房源 房本满五年 随时看房 
东城 东直门 3居室 带电梯 无遮挡 采光好,东直门外斜街,东直门,3室1厅 ,65.42, 南 西 北 , 简装 ,16, 1988年 , 塔楼,80, 5个月以前发布,6400000.0,"97,830元/平",VR房源 房本满五年 
民旺园中院 管理好 客厅带窗子两居室 诚心卖 可看房,民旺园,和平里,2室1厅 ,60.74, 东 西 南 , 精装 ,6, 1990年 , 板楼,6, 11个月以前发布,7600000.0,"125,124元/平",VR看装修 房本满五年 
东城区康鸿家园南北通透两居室套内面积103.7平米,康鸿家园,和平里,2室2厅 ,103.17, 南 北 , 精装 ,6, 2000年 , 板楼,15, 9个月以前发布,12000000.0,"116,313元/平",近地铁 VR房源 房本满五年 
东城区 革新南路2号院 双卧朝南 交通便利,革新南路2号院,永定门,2室1厅 ,58.46, 东南 , 简装 ,21, 1980年 , 塔楼,11, 一年前发布,5100000.0,"87,240元/平",近地铁 VR看装修 房本满五年 
使馆新城 东向一居室 看花园水系 高楼层观景视野好,海晟名苑北区,工体,1室1厅 ,73.26, 东 , 精装 ,16, 2007年 , 板塔结合,15, 5个月以前发布,7300000.0,"99,646元/平",近地铁 VR房源 房本满两年 随时看房 
灯市口玉石胡同南北通透明厨明卫满五唯一,玉石胡同,灯市口,3室1厅 ,73.94, 南 北 , 其他 ,6, 1990年 , 板楼,9, 4个月以前发布,7300000.0,"98,729元/平",近地铁 VR看装修 房本满五年 
朝阳首府 商品房 满五唯一 高楼层视野好 物业管理好,朝阳首府,朝阳门内,1室1厅 ,86.99, 东北 , 精装 ,15, 2009年 , 塔楼,8, 7个月以前发布,8950000.0,"102,886元/平",近地铁 VR房源 房本满五年 
六铺炕电梯楼 中水电家属院 管理好 居住人群素质高,六铺炕,安定门,2室1厅 ,54.99, 东 , 精装 ,16, 1992年 , 塔楼,16, 6个月以前发布,6900000.0,"125,478元/平",近地铁 VR看装修 房本满五年 
和平里七区 2室1厅 南 北,和平里七区,和平里,2室1厅 ,60.59, 南 北 , 简装 ,6, 1988年 , 板楼,8, 4个月以前发布,6600000.0,"108,929元/平",近地铁 VR房源 房本满五年 
全明三居室，中间楼层，央产房。,安德路47号院,安定门,3室1厅 ,72.79, 东北 , 简装 ,6, 1994年 , 板楼,10, 5个月以前发布,7990000.0,"109,768元/平",近地铁 VR看装修 房本满五年 
中低楼层 南北通透 前后不临街 安静 单独院区,大羊宜宾胡同31号院,建国门内,3室1厅 ,74.05, 南 北 , 简装 ,6, 1990年 , 板楼,31, 5个月以前发布,7200000.0,"97,232元/平",VR看装修 房本满五年 
安交 交东小区 电梯直达 高楼层 南北向3居 靠谱出售,交道口东大街,交道口,3室1厅 ,100.88, 南 北 , 简装 ,12, 2003年 , 板塔结合,28, 一年前发布,16300000.0,"161,579元/平",近地铁 VR看装修 房本满五年 
香饵胡同满五年唯一住房诚意出售,香饵胡同,交道口,2室1厅 ,68.8, 东 西 , 精装 ,6, 2002年 , 板楼,16, 5个月以前发布,8980000.0,"130,524元/平",近地铁 VR看装修 房本满五年 
东城集中供暖商品房两居室 五年唯 视野开阔 格局方正,景泰嘉园,永定门,2室1厅 ,115.31, 西北 , 简装 ,12, 2002年 , 塔楼,9, 5个月以前发布,8780000.0,"76,143元/平",近地铁 VR房源 房本满五年 
安交 花梗胡同1号院 南北通透3居2卫 精装修 诚意出售,花梗胡同1号院,交道口,3室1厅 ,69.02, 南 北 , 精装 ,6, 1985年 , 板楼,56, 一年前发布,10000000.0,"144,886元/平",近地铁 VR房源 房本满两年 
南门仓胡同 南北通透三居 中楼层 采光好 通风好无遮挡,南门仓胡同,朝阳门内,3室1厅 ,85.87, 南 北 , 简装 ,6, 2003年 , 板楼,15, 3个月以前发布,12000000.0,"139,747元/平",近地铁 VR房源 
少有户型，可当两居，视野好可观西山，满五唯一无抵押,水上华城,广渠门,1室1厅 ,79.56, 西 , 精装 ,23, 2006年 , 板塔结合,12, 4个月以前发布,9600000.0,"120,664元/平",VR房源 房本满五年 
崇文门京城仁合 文汇 带车位 精装婚房2居室 满5年唯一,京城仁合,广渠门,2室1厅 ,83.62, 东北 , 精装 ,16, 2004年 , 板塔结合,40, 一年前发布,9000000.0,"107,630元/平",VR房源 房本满五年 
东城区  定安里社区  小三居  满五年唯一,定安里,永定门,3室1厅 ,57.15, 东 南 西 , 精装 ,5, 1978年 , 板楼,30, 6个月以前发布,4100000.0,"71,742元/平",近地铁 VR看装修 房本满五年 
东城区  定安里  三居室  通透户型  集中供暖,定安里,永定门,3室1厅 ,57.18, 东 西 北 , 简装 ,5, 1978年 , 板楼,32, 6个月以前发布,4090000.0,"71,529元/平",近地铁 VR看装修 房本满五年 
陶然桥下 东城区 建予园两居 视野开阔,建予园,永定门,2室1厅 ,84.02, 西 , 简装 ,16, 1999年 , 塔楼,28, 9个月以前发布,5800000.0,"69,032元/平",近地铁 VR看装修 房本满五年 
交东小区 精装两居 电梯房 商品房 满五唯一 看房方便,交道口东大街,交道口,2室1厅 ,75.95, 南 , 其他 ,10, 2003年 , 板塔结合,17, 4个月以前发布,11790000.0,"155,234元/平",近地铁 VR房源 房本满五年 
和平里六区1993年楼龄带电梯两居室带客厅,和平里六区,和平里,2室1厅 ,64.32, 东 西北 , 精装 ,18, 1993年 , 板塔结合,12, 5个月以前发布,8280000.0,"128,732元/平",近地铁 VR房源 房本满五年 
总监推荐豆瓣南北明厨明卫两居 双卧朝南 地上地下停车,豆瓣胡同,朝阳门内,2室1厅 ,75.34, 南 北 , 精装 ,12, 2003年 , 板楼,40, 4个月以前发布,9980000.0,"132,467元/平",近地铁 VR看装修 房本满五年 
新景家园全南三居，满五唯一，不临街，把边户型无遮挡,新景家园东区,崇文门,3室1厅 ,92.82, 南 , 简装 ,10, 2004年 , 板塔结合,31, 5个月以前发布,12250000.0,"131,976元/平",近地铁 VR房源 房本满五年 
俊景苑二期高楼层东向两居室楼层高视野好业主诚意出售,禾风相府,金宝街,2室1厅 ,84.68, 东南 , 简装 ,14, 2004年 , 板楼,21, 7个月以前发布,13000000.0,"153,520元/平",VR房源 房本满五年 
东城区 东方银座 高楼层，视野开阔，采光充足，精装。,东方银座,东直门,1室1厅 ,77.74, 东 , 精装 ,26, 2003年 , 塔楼,21, 10个月以前发布,6900000.0,"88,758元/平",近地铁 VR看装修 房本满五年 
南向把边一居室 全天采光 楼下就是小区花园 产权清晰,新景家园东区,崇文门,1室1厅 ,59.68, 南 , 简装 ,12, 2004年 , 板楼,17, 6个月以前发布,6350000.0,"106,401元/平",近地铁 VR看装修 房本满五年 
东城区 崇文门 太华公寓 70年 民水电 满五唯一,太华公寓,崇文门,1室1厅 ,102.37, 东 , 其他 ,18, 2000年 , 塔楼,5, 4个月以前发布,6680000.0,"65,254元/平",VR房源 房本满五年 
崇文门东大街电梯直达南北通透近公园,崇文门东大街,崇文门,2室1厅 ,60.75, 南 北 , 简装 ,14, 1980年 , 板楼,135, 8个月以前发布,5290000.0,"87,079元/平",近地铁 VR房源 房本满五年 
广渠南水关胡同小区，板楼一层两户，通透两居室,南水关,广渠门,2室1厅 ,59.16, 东 西 , 其他 ,6, 1995年 , 板楼,11, 7个月以前发布,5100000.0,"86,207元/平",近地铁 VR看装修 房本满五年 
总监推荐 大区聚焦 朝阳门南小街 南北通透两居 采光好,朝阳门南小街,朝阳门内,2室1厅 ,69.46, 南 北 , 简装 ,10, 2004年 , 板楼,35, 4个月以前发布,7450000.0,"107,256元/平",近地铁 VR看装修 房本满五年 
东城区，3室2卫，满五唯一，高楼层视野无遮挡，近地铁,城市亮点,永定门,3室1厅 ,100.03, 东 北 , 精装 ,12, 2003年 , 板塔结合,168, 一年前发布,8880000.0,"88,774元/平",近地铁 VR看装修 房本满五年 
店长力荐，安德路乙61号院，工人日报社家属院。,安德路乙61号院,安定门,2室1厅 ,61.4, 东北 , 其他 ,14, 1989年 , 塔楼,2, 6个月以前发布,7999900.0,"130,292元/平",近地铁 VR看装修 房本满五年 
香河园北里 南北两居 明厨明卫 低楼层,香河园北里,东直门,2室1厅 ,59.34, 南 北 , 简装 ,6, 1986年 , 板楼,23, 3个月以前发布,5500000.0,"92,687元/平",近地铁 VR看装修 房本满两年 随时看房 
东城区70年产权有燃气 朝南向大一居采光好 2003年建成,东方银座,东直门,1室1厅 ,80.37, 南 , 精装 ,26, 2003年 , 塔楼,53, 一年前发布,7080000.0,"88,093元/平",VR看装修 房本满五年 
新景家园东区 高层3居室 视野好 采光好,新景家园东区,崇文门,3室1厅 ,91.6, 东 西 , 精装 ,18, 2005年 , 板楼,10, 4个月以前发布,11960000.0,"130,568元/平",VR看装修 房本满五年 
中海紫御公馆   精装小两居  前后不临街,中海紫御公馆,陶然亭,2室1厅 ,61.63, 西北 , 精装 ,22, 2010年 , 板塔结合,74, 6个月以前发布,6860000.0,"111,310元/平",VR房源 房本满五年 随时看房 
东城区二环精装2居，全明格局，采光充足，交通便利,景泰西里,永定门,2室1厅 ,49.68, 东南 , 精装 ,6, 1986年 , 板塔结合,21, 5个月以前发布,4200000.0,"84,542元/平",VR看装修 房本满两年 
东花市北里  东南向3居室  不临街   精装修,东花市北里西区,东花市,3室1厅 ,79.02, 东 南 西 , 精装 ,6, 1995年 , 板楼,40, 5个月以前发布,7630000.0,"96,558元/平",近地铁 VR房源 房本满五年 
东城区，天坛永定门，郭庄北里，前后不临街，诚心出售,郭庄北里,永定门,4室1厅 ,71.22, 南 北 , 简装 ,6, 1995年 , 板楼,7, 6个月以前发布,5990000.0,"84,106元/平",近地铁 VR房源 房本满两年 
二环里，东城，大客厅，落地窗，无遮挡！,左安浦园,左安门,2室1厅 ,92.23, 东北 , 简装 ,18, 2004年 , 板楼,1, 5个月以前发布,8450000.0,"91,619元/平",VR房源 房本满五年 
绿景馨园2004年板楼南北两居+前后不临街+龙体区域,绿景馨园,广渠门,2室1厅 ,70.38, 南 北 , 简装 ,6, 2004年 , 板楼,18, 4个月以前发布,7500000.0,"106,565元/平",近地铁 VR看装修 房本满五年 
安外东河沿双南向两居室满五唯一诚售,安外东河沿,安定门,2室1厅 ,58.46, 南 北 , 简装 ,11, 1985年 , 板楼,11, 9个月以前发布,8000000.0,"136,846元/平",近地铁 VR房源 房本满五年 
朝阳首府 商品房 满五唯一 高楼层视野好 物业管理好,朝阳首府,朝阳门内,1室1厅 ,86.99, 东北 , 精装 ,15, 2009年 , 塔楼,8, 7个月以前发布,8950000.0,"102,886元/平",近地铁 VR房源 房本满五年 
东城区二环精装2居，全明格局，采光充足，交通便利,景泰西里,永定门,2室1厅 ,49.68, 东南 , 精装 ,6, 1986年 , 板塔结合,21, 5个月以前发布,4200000.0,"84,542元/平",VR看装修 房本满两年 
新景家园东区 高层3居室 视野好 采光好,新景家园东区,崇文门,3室1厅 ,91.6, 东 西 , 精装 ,18, 2005年 , 板楼,10, 4个月以前发布,11960000.0,"130,568元/平",VR看装修 房本满五年 
交东小区 精装两居 电梯房 商品房 满五唯一 看房方便,交道口东大街,交道口,2室1厅 ,75.95, 南 , 其他 ,10, 2003年 , 板塔结合,17, 4个月以前发布,11790000.0,"155,234元/平",近地铁 VR房源 房本满五年 
二环里，东城，大客厅，落地窗，无遮挡！,左安浦园,左安门,2室1厅 ,92.23, 东北 , 简装 ,18, 2004年 , 板楼,1, 5个月以前发布,8450000.0,"91,619元/平",VR房源 房本满五年 
中低楼层 南北通透 前后不临街 安静 单独院区,大羊宜宾胡同31号院,建国门内,3室1厅 ,74.05, 南 北 , 简装 ,6, 1990年 , 板楼,31, 5个月以前发布,7200000.0,"97,232元/平",VR看装修 房本满五年 
安交 交东小区 电梯直达 高楼层 南北向3居 靠谱出售,交道口东大街,交道口,3室1厅 ,100.88, 南 北 , 简装 ,12, 2003年 , 板塔结合,28, 一年前发布,16300000.0,"161,579元/平",近地铁 VR看装修 房本满五年 
崇文门京城仁合 文汇 带车位 精装婚房2居室 满5年唯一,京城仁合,广渠门,2室1厅 ,83.62, 东北 , 精装 ,16, 2004年 , 板塔结合,40, 一年前发布,9000000.0,"107,630元/平",VR房源 房本满五年 
东城区  定安里社区  小三居  满五年唯一,定安里,永定门,3室1厅 ,57.15, 东 南 西 , 精装 ,5, 1978年 , 板楼,30, 6个月以前发布,4100000.0,"71,742元/平",近地铁 VR看装修 房本满五年 
崇文门东大街电梯直达南北通透近公园,崇文门东大街,崇文门,2室1厅 ,60.75, 南 北 , 简装 ,14, 1980年 , 板楼,135, 8个月以前发布,5290000.0,"87,079元/平",近地铁 VR房源 房本满五年 
少有户型，可当两居，视野好可观西山，满五唯一无抵押,水上华城,广渠门,1室1厅 ,79.56, 西 , 精装 ,23, 2006年 , 板塔结合,12, 4个月以前发布,9600000.0,"120,664元/平",VR房源 房本满五年 
安外东河沿双南向两居室满五唯一诚售,安外东河沿,安定门,2室1厅 ,58.46, 南 北 , 简装 ,11, 1985年 , 板楼,11, 9个月以前发布,8000000.0,"136,846元/平",近地铁 VR房源 房本满五年 
绿景馨园2004年板楼南北两居+前后不临街+龙体区域,绿景馨园,广渠门,2室1厅 ,70.38, 南 北 , 简装 ,6, 2004年 , 板楼,18, 4个月以前发布,7500000.0,"106,565元/平",近地铁 VR看装修 房本满五年 
东城区 悠胜美苑 精装 可以拎包入住 双地铁,悠胜美苑,永定门,2室1厅 ,70.17, 东 北 , 精装 ,20, 2003年 , 塔楼,14, 5个月以前发布,5500000.0,"78,382元/平",VR房源 房本满五年 
富贵园三区 东南两居室 中间楼层 满五年唯一 商品本,富贵园三区,东花市,2室1厅 ,80.76, 东南 , 其他 ,18, 2002年 , 板塔结合,93, 一年前发布,7280000.0,"90,144元/平",VR看装修 房本满五年 
2003年商品房 精装修 无遮挡 业主诚意出售,和平新城一期,和平里,2室1厅 ,132.32, 东 , 精装 ,20, 2003年 , 板塔结合,5, 4个月以前发布,13500000.0,"102,026元/平",近地铁 VR房源 房本满五年 
定安里 3室1厅 南 北,定安里,永定门,3室1厅 ,66.63, 南 北 , 简装 ,6, 1990年 , 板楼,20, 一年前发布,5860000.0,"87,949元/平",近地铁 VR看装修 房本满五年 
中海紫御公馆高楼层精装修两居室,中海紫御公馆,陶然亭,2室2厅 ,90.35, 南 , 精装 ,19, 2010年 , 板塔结合,57, 一年前发布,11900000.0,"131,711元/平",VR房源 房本满五年 
新景家园商品房 南北通透不临街 一梯三户 满五唯一,新景家园东区,崇文门,2室1厅 ,75.56, 南 北 , 精装 ,12, 2005年 , 板楼,110, 一年前发布,9400000.0,"124,405元/平",VR看装修 房本满五年 
二环内2008年商品房，满五年唯一住房，70年产权,建国门北大街5号,建国门内,3室1厅 ,191.74, 东 , 精装 ,24, 2008年 , 板楼,20, 4个月以前发布,11000000.0,"57,370元/平",近地铁 VR房源 房本满五年 
东花市北里西区 满五年唯一 中间楼层 不临街 出行方便,东花市北里西区,东花市,2室1厅 ,60.87, 东 , 其他 ,6, 1995年 , 板楼,47, 一年前发布,5800000.0,"95,286元/平",VR看装修 房本满两年 随时看房 
新景家园东区 朝南一居室 采光好 不临街 满五年,新景家园东区,崇文门,1室1厅 ,56.88, 南 , 简装 ,17, 2004年 , 板楼,21, 8个月以前发布,6800000.0,"119,550元/平",VR看装修 房本满五年 
金鱼池西区 南北通透两居室 不临街 中间楼层采光好,金鱼池西区,天坛,2室1厅 ,61.83, 南 北 , 精装 ,7, 2002年 , 板楼,55, 5个月以前发布,6180000.0,"99,952元/平",近地铁 VR看装修 房本满五年 
东城区春秀路 1996年建成 明厨明卫有客厅 中间楼层,春秀路,东直门,2室1厅 ,66.85, 东 西 , 精装 ,6, 1998年 , 板楼,17, 4个月以前发布,6880000.0,"102,917元/平",VR看装修 房本满五年 
东花市大街2号院南北通透两居室,东花市大街2号院,东花市,2室1厅 ,58.98, 北 南 , 精装 ,6, 1986年 , 板楼,25, 11个月以前发布,6560000.0,"111,225元/平",VR看装修 房本满五年 
纯商品社区，人车分流，户型方正，北向无遮挡,远洋德邑,广渠门,2室1厅 ,110.95, 东北 , 精装 ,22, 2002年 , 塔楼,45, 6个月以前发布,10600000.0,"95,539元/平",VR看装修 房本满五年 随时看房 
和平里五区南北两居中间楼层诚心出售价格好商量,和平里五区,和平里,2室1厅 ,55.12, 南 北 , 简装 ,6, 1996年 , 板楼,41, 4个月以前发布,6680000.0,"121,191元/平",近地铁 VR看装修 房本满两年 
天天家园商品房朝东两居满五唯一,天天家园,永定门,3室1厅 ,102.06, 东 , 其他 ,11, 2002年 , 塔楼,16, 11个月以前发布,8380000.0,"82,109元/平",近地铁 VR看装修 房本满五年 
此房是广渠门内大街5号楼的，精装修户型好满五唯一,广渠门内大街,广渠门,3室1厅 ,69.07, 东 西 北 , 精装 ,14, 1987年 , 板楼,18, 5个月以前发布,6700000.0,"97,004元/平",近地铁 VR看装修 房本满五年 
南二环内 东城区 南北两居室 低楼层 精装修,向新西里,左安门,2室1厅 ,61.29, 南 北 , 精装 ,6, 1981年 , 板楼,10, 10个月以前发布,5900000.0,"96,264元/平",近地铁 VR看装修 房本满两年 
东城2009年 满五唯一商品房  精装修 无遮挡,广渠家园,广渠门,1室1厅 ,51.12, 西 , 精装 ,29, 2009年 , 板塔结合,12, 5个月以前发布,5399000.0,"105,615元/平",近地铁 VR看装修 房本满五年 
约谈有惊喜+青年湖+九零后+精品大一居+电梯+看房方便,安德里北街25号院,安定门,1室1厅 ,46.87, 西南 , 精装 ,17, 1990年 , 塔楼,5, 5个月以前发布,5850000.0,"124,814元/平",近地铁 VR看装修 房本满五年 
豆瓣小区 两居室 全明格局  满5年 唯一 1梯4户,豆瓣胡同,朝阳门内,2室1厅 ,71.7, 东 西 , 简装 ,11, 2003年 , 板塔结合,9, 6个月以前发布,9200000.0,"128,313元/平",近地铁 VR房源 房本满五年 
东城区2004年商品房 地铁广渠门外站600米 满五唯一,东环居苑,广渠门,2室1厅 ,63.6, 南 西 , 精装 ,22, 2004年 , 塔楼,13, 6个月以前发布,6740000.0,"105,975元/平",VR看装修 房本满五年 
东城区永定门天坛南二环满五年唯一商品房精装诚心出售,景泰东里,蒲黄榆,1室1厅 ,51.13, 南 北 , 精装 ,6, 1994年 , 板楼,11, 5个月以前发布,4030000.0,"78,819元/平",近地铁 VR房源 房本满五年 
和平里五区低价一居看房方便交通便利,和平里五区,和平里,1室1厅 ,37.5, 东南 , 其他 ,6, 1996年 , 板楼,6, 2个月以前发布,4500000.0,"120,000元/平",近地铁 VR房源 房本满五年 
满五年唯一，全南朝向，格局好，配套齐全，楼下公园,民安小区东直门北中街,东直门,2室1厅 ,78.12, 南 , 其他 ,14, 2003年 , 板塔结合,52, 5个月以前发布,7800000.0,"99,847元/平",VR房源 房本满五年 
绿景苑 满五唯一 高层 无遮挡 户型方正 商品房社区,绿景苑,广渠门,1室1厅 ,35.76, 北 , 简装 ,12, 2002年 , 塔楼,3, 4个月以前发布,5280000.0,"147,652元/平",VR看装修 房本满五年 
交东小区 电梯 朝西向1居 户型好产权干净 随时可看房,交道口东大街,交道口,1室1厅 ,62.42, 西 , 简装 ,12, 2003年 , 板塔结合,5, 4个月以前发布,8900000.0,"142,583元/平",近地铁 VR看装修 房本满两年 
商品房，高楼层，视野开阔，装修好无遮挡,和平新城一期,和平里,1室1厅 ,63.29, 西 , 精装 ,19, 2003年 , 板塔结合,4, 5个月以前发布,8400000.0,"132,723元/平",近地铁 VR房源 房本满五年 
东城区 2006年商品房 朝南一居 满五年唯一,新奥洋房,永定门,1室1厅 ,58.96, 南 , 简装 ,11, 2006年 , 板塔结合,24, 11个月以前发布,5680000.0,"96,337元/平",VR看装修 房本满五年 
东环居苑南向正规一居室，可拎包入住。,东环居苑,广渠门,1室1厅 ,62.35, 南 , 精装 ,18, 2004年 , 塔楼,17, 4个月以前发布,6000000.0,"96,231元/平",近地铁 VR看装修 房本满五年 
东城东直门商圈 当代万国城MOMA四期 小户型,当代MOMA,东直门,1室1厅 ,100.19, 西南 , 其他 ,18, 2009年 , 塔楼,15, 8个月以前发布,15000000.0,"149,716元/平",近地铁 VR看装修 房本满五年 
商品房、封闭式管理、有燃气、视野好、无遮挡、诚意卖,新裕家园,崇文门,1室1厅 ,34.02, 北 , 简装 ,13, 2007年 , 板楼,8, 5个月以前发布,5600000.0,"164,610元/平",近地铁 VR看装修 房本满两年 
新奥洋房，满五年唯一，正规一室一厅,新奥洋房,永定门,1室1厅 ,54.32, 西 , 简装 ,11, 2006年 , 板塔结合,8, 一年前发布,5490000.0,"101,068元/平",VR看装修 房本满五年 
东城区，冠城名敦道A区，地铁7号线，商品房，满五唯一,冠城名敦道A区,广渠门,1室1厅 ,64.72, 东 , 精装 ,23, 2009年 , 塔楼,6, 6个月以前发布,5000000.0,"77,256元/平",VR看装修 房本满五年 
东城区 景泰东里 全明格局 近地铁,景泰东里,蒲黄榆,1室1厅 ,51.28, 东 北 , 精装 ,6, 1994年 , 板楼,9, 一年前发布,4660000.0,"90,874元/平",近地铁 VR房源 房本满五年 
景泰东里，东城区 朝西格局好 视野开阔中间层精装修,景泰东里,蒲黄榆,1室1厅 ,51.73, 西 , 简装 ,6, 1994年 , 板楼,8, 9个月以前发布,3990000.0,"77,132元/平",近地铁 VR看装修 房本满两年 
本家润园C区楼层好，视野开阔，楼下就是地铁，楼龄新,本家润园C区,东花市,1室1厅 ,46.79, 北 , 其他 ,18, 2005年 , 板塔结合,12, 一年前发布,5500000.0,"117,547元/平",VR看装修 房本满五年 
金世纪嘉园 东南向 商品房 光线好,金世纪嘉园,广渠门,3室1厅 ,112.0, 东南 , 精装 ,21, 2003年 , 塔楼,31, 一年前发布,10600000.0,"94,643元/平",VR房源 房本满五年 
草厂头条7号院 2室1厅 南 北,草厂头条7号院,崇文门,2室1厅 ,53.73, 南 北 , 简装 ,4, 1992年 , 板楼,55, 9个月以前发布,5250000.0,"97,711元/平",近地铁 VR看装修 房本满两年 
东城东直门东方银座高层1居+南向采光好+落地飘窗明亮,东方银座,东直门,1室1厅 ,76.4, 南 , 精装 ,26, 2003年 , 塔楼,20, 3个月以前发布,7000000.0,"91,624元/平",VR看装修 房本满五年 
东城区  商品房  东花市  国瑞 新景  崇文门,金桥国际,广渠门,1室1厅 ,66.5, 南 , 简装 ,27, 2004年 , 板塔结合,5, 9个月以前发布,6350000.0,"95,489元/平",VR房源 房本满五年 
兴隆都市馨园东南北少见户型，低楼层，满五年推荐,兴隆都市馨园,崇文门,2室1厅 ,73.56, 东 南 北 , 精装 ,7, 2003年 , 板楼,20, 5个月以前发布,7650000.0,"103,997元/平",近地铁 VR看装修 房本满五年 随时看房 
东城安外大街3号院，南北三居室，满五唯一看房方便。,安外大街3号院,安定门,3室1厅 ,70.07, 南 北 , 简装 ,6, 1988年 , 板楼,68, 一年前发布,6690000.0,"95,476元/平",近地铁 VR看装修 房本满五年 
东城区永定门外双地铁8+14号线 商品房社区 满5年唯一,建予园,永定门,2室1厅 ,71.39, 南 西 , 简装 ,16, 1999年 , 塔楼,71, 5个月以前发布,5350000.0,"74,941元/平",近地铁 VR房源 房本满五年 
东城区 永定门外 华龙美晟 2009年商品房 两居出售,华龙美晟,永定门,2室1厅 ,79.49, 东北 , 精装 ,12, 2009年 , 板塔结合,48, 5个月以前发布,5760000.0,"72,462元/平",近地铁 VR看装修 房本满五年 随时看房 
法华南里 南北全明格局3居 整个小区就12套 难得 精装,法华南里,崇文门,3室1厅 ,92.88, 南 北 东 , 精装 ,6, 1996年 , 板楼,16, 5个月以前发布,8800000.0,"94,746元/平",近地铁 VR房源 房本满五年 
广渠家园独门独院满五唯一近地铁,广渠家园,广渠门,2室1厅 ,64.68, 西 , 精装 ,28, 2009年 , 塔楼,8, 一年前发布,6200000.0,"95,857元/平",VR看装修 房本满五年 
"冠城名敦道A区大一居,看小区花园,高楼层视野无遮挡.",冠城名敦道A区,广渠门,1室1厅 ,71.7, 东 , 简装 ,23, 2009年 , 塔楼,2, 4个月以前发布,6330000.0,"88,285元/平",VR房源 房本满五年 
禾风相府大开间高楼层 采光好 满五唯一,禾风相府,金宝街,1室0厅 ,46.24, 西 , 精装 ,14, 2004年 , 板楼,2, 5个月以前发布,6180000.0,"133,651元/平",VR看装修 房本满五年 
朝阳门内 户型方正，精装修满五年  电梯直达 观景视野,豆瓣胡同,朝阳门内,1室1厅 ,48.13, 东 南 , 精装 ,21, 2003年 , 板塔结合,6, 5个月以前发布,6900000.0,"143,362元/平",近地铁 VR看装修 房本满五年 
安德里北街25号院，东城区青年湖,安德里北街25号院,安定门,1室1厅 ,46.87, 西南 , 简装 ,17, 1990年 , 塔楼,3, 4个月以前发布,5800000.0,"123,747元/平",近地铁 VR看装修 房本满五年 随时看房 
安德路乙61号院，两居室，随时签约。,安德路乙61号院,安定门,2室1厅 ,46.39, 东 , 简装 ,14, 1989年 , 塔楼,11, 5个月以前发布,6000000.0,"129,339元/平",近地铁 VR看装修 房本满五年 
龙城龙潭湖畔 大客厅 不临街 采光好,左安浦园,左安门,1室1厅 ,67.36, 东 , 精装 ,18, 2004年 , 板楼,8, 7个月以前发布,6560000.0,"97,388元/平",VR看装修 房本满五年 
东直门内南小街 1室0厅 东,东直门内南小街,东直门,1室0厅 ,12.3, 东 , 其他 ,1, 2019年 , 平房,12, 4个月以前发布,2210000.0,"179,675元/平",近地铁 VR房源 房本满两年 
和平里七区 2室1厅 东 西 北,和平里七区,和平里,2室1厅 ,69.81, 东 西 北 , 简装 ,8, 1991年 , 板楼,5, 3个月以前发布,8900000.0,"127,489元/平",近地铁 VR房源 房本满五年 随时看房 
北岗子街 磁器口 龙体区域 培新,北岗子街,崇文门,1室1厅 ,17.7, 南 , 简装 ,1, 1960年 , 平房,10, 3个月以前发布,2790000.0,"157,628元/平",近地铁 VR看装修 房本满五年 
本家润园C区，精装修两居室，采光好,本家润园C区,东花市,2室1厅 ,63.75, 西 , 精装 ,18, 2005年 , 板塔结合,10, 6个月以前发布,6780000.0,"106,353元/平",近地铁 VR看装修 随时看房 
东城区景泰西里65号院中楼层南北两居,景泰西里65号院,永定门,2室1厅 ,61.47, 南 北 , 精装 ,6, 1985年 , 板楼,16, 8个月以前发布,5300000.0,"86,221元/平",近地铁 VR看装修 随时看房 
民安小区东羊管胡同 2室1厅 南 北,民安小区东羊管胡同,东直门,2室1厅 ,70.01, 南 北 , 简装 ,6, 2002年 , 板楼,12, 4个月以前发布,9600000.0,"137,124元/平",近地铁 VR房源 
此房南北通透明厨明卫，一层加大两居室，不临街,地坛北里,和平里,2室1厅 ,59.11, 南 北 , 简装 ,5, 1986年 , 板楼,6, 4个月以前发布,8280000.0,"140,078元/平",近地铁 VR房源 
北官厅胡同甲二号院，南北，全明三居，,北官厅胡同甲二号院,东直门,3室1厅 ,77.54, 南 北 , 精装 ,6, 1993年 , 板楼,22, 4个月以前发布,8300000.0,"107,042元/平",VR看装修 
东直门地铁+南北通透+满五唯一+不临街+安静安全,海运仓小区,东直门,3室2厅 ,81.66, 南 北 , 简装 ,6, 2002年 , 板楼,7, 3个月以前发布,9600000.0,"117,561元/平",VR房源 
鸿运花园 2室1厅 南,鸿运花园,左安门,2室1厅 ,98.28, 南 , 其他 ,6, 1996年 , 板楼,10, 4个月以前发布,8990000.0,"91,474元/平",VR看装修 
东城区   龙潭湖畔   南北三居   满五唯一,火桥北里,左安门,3室1厅 ,70.35, 南 北 , 精装 ,6, 1981年 , 板楼,13, 4个月以前发布,6900000.0,"98,082元/平",VR看装修 
